,tune
1204,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Fmaj7'), ('2', 'G7'), ('2', 'Abdim7'), ('2', 'A/F'), ('2', 'G7/B'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
1205,"[('2', 'Dm7'), ('2', 'Gm7'), ('1', 'C7'), ('2', 'Dm7'), ('4', 'Gm7'), ('4', 'C7'), ('1', 'Fmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
1206,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Fmaj7'), ('2', 'G7'), ('2', 'Abdim7'), ('2', 'Dm7/A'), ('2', 'G7/B'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Em7'), ('2', 'Abmaj7'), ('4', 'Dm7'), ('4', 'G7')]"
1207,"[('1', 'Cm7'), ('1', 'Dm7/C'), ('1', 'Ebmaj7/C'), ('1', 'Dm7/C')]"
1208,"[('1', 'Cm7'), ('1', 'Dm7/C'), ('1', 'Ebmaj7/C'), ('1', 'Dm7/C')]"
1209,"[('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Cm7'), ('1', 'Cm6'), ('1', 'Fm7'), ('1', 'Fm6'), ('1', 'Cm7'), ('1', 'Cm6')]"
1210,"[('2', 'Dm'), ('2', 'Ebm'), ('2', 'Em'), ('2', 'Fm'), ('2', 'Gbm'), ('2', 'Fm'), ('2', 'Em'), ('2', 'Ebm'), ('2', 'Dm7'), ('2', 'Ebdim7'), ('2', 'C7/E'), ('2', 'Fm'), ('1', 'Cm'), ('1', 'G7')]"
1211,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7'), ('1', 'A7b9'), ('2', 'Gbm7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6')]"
1212,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Em7'), ('1', 'A7b9'), ('2', 'Gbm7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6')]"
1213,"[('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus')]"
1214,"[('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus')]"
1215,"[('1', 'Dm9sus'), ('1', 'Dm9sus'), ('1', 'Dm9sus'), ('1', 'Dm9sus'), ('1', 'Bm9'), ('1', 'Bm9'), ('1', 'Bm9'), ('1', 'Bm9')]"
1216,"[('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'C9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus'), ('1', 'Eb9sus')]"
1217,"[('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Abmaj7#11/G'), ('1', 'Abmaj7#11/G'), ('1', 'C'), ('1', 'Bb/C'), ('1', 'Abmaj7'), ('1', 'Abmaj7')]"
1218,"[('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Abmaj7#11/G'), ('1', 'Abmaj7#11/G'), ('1', 'C'), ('1', 'Bb/C'), ('1', 'A/F'), ('1', 'C')]"
1219,"[('1', 'G/F'), ('1', 'G/F'), ('1', 'F/Eb'), ('1', 'F/Eb'), ('1', 'G7/D'), ('1', 'G7/D'), ('1', 'C'), ('1', 'C')]"
1220,"[('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Abmaj7#11/G'), ('1', 'Abmaj7#11/G'), ('1', 'C'), ('1', 'Bb/C'), ('1', 'G7'), ('1', 'Cmaj7')]"
1221,"[('1', 'Fm6'), ('1', 'G7#9'), ('2', 'Cm7'), ('2', 'Cm7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Abmaj7#11'), ('1', 'G7#9'), ('1', 'Cm6'), ('1', 'D7b13'), ('1', 'Gm7')]"
1222,[]
1223,"[('1', 'Fm6'), ('1', 'G7#9'), ('1', 'Cm6'), ('1', 'Cm6')]"
1224,"[('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
1225,"[('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'A7'), ('2', 'Abm7'), ('2', 'Db7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'Emaj7'), ('1', 'Abm7')]"
1226,"[('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Em7b5'), ('1', 'A7b9')]"
1227,"[('2', 'Dm7'), ('2', 'Edim7'), ('2', 'Fmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'Dm7'), ('1', 'Bm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('2', 'Em7b5'), ('2', 'A7b9')]"
1228,"[('2', 'Cmaj7'), ('2', 'G7#5'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Dm7b5'), ('2', 'Am7'), ('2', 'G7b9'), ('4', 'C7'), ('4', 'B7'), ('4', 'Bm7'), ('4', 'Bm7')]"
1229,"[('2', 'Cmaj7'), ('2', 'G7#5'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Dm7b5'), ('2', 'Am7'), ('2', 'G7b9'), ('4', 'C7'), ('4', 'B7'), ('4', 'Bm7'), ('4', 'Bm7')]"
1230,"[('2', 'Bm7'), ('2', 'Bbm7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Bm7'), ('2', 'Bdim7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Em7'), ('2', 'A7#5'), ('4', 'Dmaj7'), ('4', 'C7'), ('2', 'B7'), ('2', 'Bm7'), ('2', 'D7'), ('2', 'G7#5')]"
1231,"[('2', 'Cmaj7'), ('2', 'G7#5'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Dm7b5'), ('2', 'Am7'), ('2', 'G7'), ('4', 'C7'), ('4', 'B7'), ('2', 'Bm7'), ('2', 'Am7b5'), ('2', 'Am7'), ('2', 'C6/G'), ('4', 'D7'), ('4', 'G7'), ('2', 'C6'), ('4', 'Dm7'), ('4', 'G7')]"
1232,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'Abm7sus'), ('1', 'Gm7'), ('1', 'Dbm7')]"
1233,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'Abm7sus'), ('1', 'Gm7'), ('1', 'Dbm7')]"
1234,"[('2', 'Em7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'Dbm7b5'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('1', 'D7'), ('1', 'Abm7sus')]"
1235,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'Abm7sus'), ('1', 'Gm7'), ('1', 'Dbm7'), ('2', 'Fmaj7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Fm6'), ('2', 'E7'), ('2', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('1', 'Abm7sus')]"
1236,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1237,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1238,"[('1', 'E7'), ('1', 'Am6'), ('1', 'Am6'), ('1', 'Am6'), ('1', 'Ebm7'), ('1', 'Abm7'), ('1', 'Abm7'), ('1', 'Abm7')]"
1239,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
1240,"[('2', 'Gbm'), ('2', 'Gbdim7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm'), ('2', 'Gbdim7'), ('2', 'Dbm'), ('2', 'A7')]"
1241,"[('2', 'Gbm'), ('2', 'Gbdim7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm'), ('2', 'Gbdim7'), ('2', 'Dbm'), ('2', 'A7')]"
1242,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1243,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1244,"[('1', 'E7'), ('1', 'Am6'), ('1', 'Am6'), ('1', 'Am6'), ('1', 'Ebm7'), ('1', 'Abm7'), ('1', 'Abm7'), ('1', 'Abm7')]"
1245,"[('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
1246,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1247,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1248,"[('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('1', 'Abm7')]"
1249,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7')]"
1250,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'C6'), ('2', 'Ebm7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Gm7'), ('1', 'C7')]"
1251,"[('2', 'Fm7'), ('2', 'Bm7'), ('1', 'Ebmaj7'), ('1', 'Cm7'), ('1', 'Bm6'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Gmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Gmaj7'), ('2', 'Ebm7')]"
1252,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'C6'), ('2', 'Ebm7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Em7'), ('1', 'A7')]"
1253,"[('2', 'Gbm7'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Bm7b5'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('1', 'C6')]"
1254,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('1', 'Dbm7'), ('2', 'Dbm7'), ('2', 'Dbm7b9')]"
1255,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7b9'), ('1', 'Dbm7'), ('2', 'Dbm7'), ('2', 'Dbm7b9')]"
1256,"[('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'Edim7')]"
1257,"[('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'Edim7')]"
1258,"[('2', 'Gm7'), ('2', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'C7#5'), ('1', 'Fmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('1', 'G7')]"
1259,"[('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Cmaj7')]"
1260,"[('2', 'Cmaj7'), ('2', 'Gbm7#11'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7'), ('1', 'Abm7'), ('2', 'Fmaj7#11'), ('4', 'Gbm7b5'), ('4', 'B7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]"
1261,"[('2', 'Cmaj7'), ('2', 'Gbm7#11'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7'), ('1', 'Abm7'), ('2', 'Fmaj7#11'), ('4', 'Gbm7b5'), ('4', 'B7'), ('2', 'Em7'), ('2', 'A7b13'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'E7#5'), ('2', 'A7#9#5'), ('2', 'Gbm7b5'), ('4', 'Fm7'), ('4', 'Bm7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'Dbm6'), ('2', 'Abm7')]"
1262,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Fmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1263,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Fmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Fmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1264,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1265,"[('1', 'Am7'), ('1', 'D7'), ('1', 'G7'), ('1', 'G7'), ('1', 'Am7'), ('1', 'D7'), ('2', 'G7'), ('2', 'G7'), ('2', 'Dbm/E'), ('2', 'G7/D')]"
1266,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1267,"[('1', 'Am7'), ('1', 'D7'), ('1', 'G7'), ('1', 'G7'), ('1', 'Am7'), ('1', 'D7'), ('2', 'G7'), ('2', 'G7'), ('2', 'Dbm/E'), ('2', 'G7/D')]"
1268,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1269,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Gbmmaj9'), ('2', 'E9'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7sus'), ('2', 'Dbm')]"
1270,"[('1', 'Fmaj7'), ('1', 'Abm7b9'), ('2', 'E7b9'), ('2', 'E7b9/Ab'), ('4', 'Am7'), ('4', 'Gm7'), ('4', 'Fm7'), ('4', 'Ebm7'), ('1', 'Dm7'), ('1', 'Abm7')]"
1271,"[('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Am7'), ('2', 'Am7')]"
1272,"[('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Am7'), ('2', 'Am7')]"
1273,"[('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'Am7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('4', 'Em7'), ('4', 'A7'), ('4', 'Dm7'), ('4', 'Abm7')]"
1274,"[('2', 'Cmaj7'), ('2', 'E7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Am7'), ('2', 'Am7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7#5'), ('1', 'Cmaj7')]"
1275,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'G7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7')]"
1276,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'E7b9'), ('1', 'E7b9'), ('1', 'A7'), ('1', 'A7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'Edim7'), ('1', 'Cmaj7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
1277,"[('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('4', 'Cmaj7'), ('4', 'D7'), ('4', 'G7'), ('4', 'Cmaj7')]"
1278,"[('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('4', 'Cmaj7'), ('4', 'D7'), ('4', 'G7'), ('4', 'Cmaj7')]"
1279,"[('1', 'Gm7'), ('1', 'C7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Ebmaj7'), ('2', 'Dm7'), ('2', 'G7')]"
1280,"[('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Cmaj7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7b9'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Gbdim7'), ('4', 'Cmaj7'), ('4', 'D7'), ('4', 'G7'), ('4', 'Cmaj7'), ('1', 'Cmaj7')]"
1281,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'G7b9'), ('1', 'G7b9'), ('1', 'Bbm6'), ('2', 'Bbm6'), ('2', 'Amaj7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Fm7'), ('1', 'G7b9'), ('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'D13b9'), ('1', 'D13b9'), ('1', 'Gmaj7'), ('1', 'Dm7#11')]"
1282,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'G7b9'), ('1', 'G7b9'), ('1', 'Bbm6'), ('2', 'Bbm6'), ('2', 'Amaj7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Fm7'), ('1', 'Gbdim7'), ('1', 'Cm/G'), ('1', 'Abmaj7'), ('1', 'Fm7'), ('2', 'Abm7'), ('2', 'G7'), ('1', 'Cm7'), ('1', 'Abm7')]"
1283,"[('2', 'C6'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'C6'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Gm7'), ('1', 'C7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'G7'), ('1', 'G7')]"
1284,"[('2', 'C6'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Gm7'), ('1', 'C7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Dm7'), ('1', 'Bm7#11'), ('1', 'Em7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
1285,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Db7'), ('1', 'Db7'), ('2', 'Fm6'), ('2', 'Fdim7'), ('2', 'Cm/Gb'), ('2', 'Ab7'), ('2', 'Db7'), ('2', 'Gb7')]"
1286,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Db7'), ('1', 'Db7'), ('2', 'Fm6'), ('2', 'Fdim7'), ('2', 'Cm/Gb'), ('2', 'Ab7'), ('2', 'Db7'), ('2', 'Gb7')]"
1287,"[('2', 'Gbm7'), ('2', 'Cm7'), ('2', 'Abm7'), ('2', 'Db7'), ('2', 'Gbm7'), ('2', 'Cm7'), ('1', 'Fm6'), ('2', 'Abm7'), ('2', 'Db7'), ('2', 'Gbmaj7'), ('2', 'Gdim7'), ('2', 'Abm7'), ('2', 'Db7'), ('2', 'Dbm7'), ('2', 'Gb7')]"
1288,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Db7'), ('1', 'Db7'), ('2', 'Fm6'), ('2', 'Fdim7'), ('2', 'Cm/Gb'), ('2', 'Ab7'), ('2', 'Db7'), ('2', 'Gb7'), ('2', 'Cm6'), ('2', 'Gb7')]"
1289,"[('2', 'C'), ('2', 'Gb7b5'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em13'), ('2', 'Am7'), ('1', 'Dm13'), ('2', 'C'), ('2', 'Gb7'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7')]"
1290,"[('2', 'C'), ('2', 'Gb7b5'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em13'), ('2', 'Am7'), ('1', 'Dm13'), ('2', 'C'), ('2', 'Gb7'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7')]"
1291,"[('1', 'Gm7/C'), ('1', 'C7b9'), ('1', 'Fmaj7'), ('1', 'D7b9'), ('1', 'D7b9'), ('1', 'D7b5'), ('1', 'Dm7'), ('1', 'G7b9#11')]"
1292,"[('2', 'C'), ('2', 'Gb7b5'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em13'), ('2', 'Am7'), ('1', 'Dm13'), ('2', 'C'), ('2', 'Gb7b5'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7')]"
1293,"[('2', 'C'), ('2', 'Gb7b5'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em13'), ('2', 'Am7'), ('1', 'Dm13'), ('2', 'C'), ('2', 'Gb7'), ('2', 'Am7'), ('2', 'Bm9'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'Dm7')]"
